gene,q,q_TSG_20_20,q_TSG_TUSCON,score_iSTOP,score_TUSCON,score_20_20,TSG_iSTOP,TSG_TUSCON,TSG_20_20,TSG_CGC
RB1,3.9536720517676122e-22,0,1.86814174508544e-52,21.40299935728195,51.728590174801326,Inf,TRUE,TRUE,TRUE,TRUE
RERE,0.34255830195011006,0.723027166883,0.00189187309823062,0.4652655028273254,2.7231079982653843,0.1408453843019855,FALSE,TRUE,FALSE,FALSE
RIMS2,0.0701354620250745,0.853547854785,0.00614831068923488,1.1540623377021166,2.211244194651302,0.06877212482875752,FALSE,TRUE,FALSE,FALSE
RNF111,0.11957794965817807,0.0160714285714,0.52138571938331,0.9223488974769434,0.2828408682155636,1.7939455175676478,FALSE,FALSE,TRUE,FALSE
RNF43,1.7077887277831695e-11,0.0727272727272,0.101296252420111,10.767565857319862,0.9944066216029237,1.1383026981667157,TRUE,FALSE,TRUE,FALSE
RP1,1.8479580333714184e-4,0.93491920195,1,3.733307895714488,-0,0.029225920318400836,TRUE,FALSE,FALSE,FALSE
RPL11,0.23160113817824057,0.0727272727272,0.537436018539743,0.6352593106470422,0.2696732308524861,1.1383026981667157,FALSE,FALSE,TRUE,FALSE
RPL5,0.2939164997235599,0.00454545454546,7.44986952300758e-6,0.531776033057166,5.12785133341735,2.3424226808216853,FALSE,TRUE,TRUE,FALSE
RUNX1,6.7303435539055996e-18,0,1.3439414430359e-13,17.1719627664213,12.8716196535444,Inf,TRUE,TRUE,TRUE,TRUE
SCN11A,4.798117866830146e-5,0.946505905512,1,4.3189290876968265,-0,0.02387667200840066,TRUE,FALSE,FALSE,FALSE
SDHA,0.4849189984263122,0.93078654214,1,0.3143308005203166,-0,0.03114990462530433,FALSE,FALSE,FALSE,TRUE
SEC22A,0.32562391175343136,0.074,0.162656859013446,0.4872837107814121,0.7887276184019036,1.1307682802690238,FALSE,FALSE,TRUE,FALSE
SEMA3D,1.890502096495393e-4,0.932939374042,1,3.7234228366850077,-0,0.03014657744803086,TRUE,FALSE,FALSE,FALSE
SENP3,0.3274680607463529,0.036923076923,0.352518426138662,0.48483105206316546,0.45281817750606307,1.4327021149321544,FALSE,FALSE,TRUE,FALSE
SENP8,0.26682159555176954,0.0924528301888,0.633597180740448,0.5737790231459943,0.19818676385478529,1.0340797895717082,FALSE,FALSE,TRUE,FALSE
SETD2,1.1067242772643928e-16,0,4.89526860585339e-38,15.955960563202247,37.31022347325013,Inf,TRUE,TRUE,TRUE,TRUE
SFRP4,0.2235279090380344,0.937424468335,1,0.6506682444134675,-0,0.028063714860841173,FALSE,FALSE,FALSE,TRUE
