Total,Targetable,Not Targetable,% Targetable,species,sites_per_100aa
597380,353527,243853,59.17958418427132,A. thaliana,3.1360118721353367
539359,332411,206948,61.63075057614687,C. elegans,3.943174080781816
532921,328193,204728,61.583799474969084,D. melanogaster,4.231896233328374
818056,488551,329505,59.72097264734933,D. rerio,3.8611129005823592
836648,523312,313336,62.548646503667015,H. sapiens,4.196568684775743
773750,478325,295425,61.819063004846534,M. musculus,4.075821196334509
669312,416017,253295,62.15591532797858,R. norvegicus,4.004545964554482
157266,93416,63850,59.3999974565386,S. cerevisiae,3.109976355954259
